timestamp,event_type,user,process,source_ip,status,risk,event_id,log_type,commandline,logon_type,dns_query,confidence_score,response,access_level,ensemble_score,poison_flag
2026-02-11 06:37:36,New Service Installed,SYSTEM,VMware VMCI Bus Driver,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-02-11 06:44:22,New Service Installed,SYSTEM,MpKslDrv,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-02-11 06:44:35,New Service Installed,LocalSystem,Microsoft Edge Elevation Service (MicrosoftEdgeElevationService),N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-02-11 06:44:35,New Service Installed,LocalSystem,Microsoft Edge Elevation Service (MicrosoftEdgeElevationService),N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-02-11 06:44:35,New Service Installed,LocalSystem,Microsoft Edge Elevation Service (MicrosoftEdgeElevationService),N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-02-11 06:44:35,New Service Installed,LocalSystem,Microsoft Edge Elevation Service (MicrosoftEdgeElevationService),N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-02-11 06:44:35,New Service Installed,LocalSystem,Microsoft Edge Elevation Service (MicrosoftEdgeElevationService),N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-02-11 06:44:35,New Service Installed,LocalSystem,Microsoft Edge Elevation Service (MicrosoftEdgeElevationService),N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-02-11 06:44:35,New Service Installed,LocalSystem,Microsoft Edge Elevation Service (MicrosoftEdgeElevationService),N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-02-11 07:35:35,New Service Installed,SYSTEM,KslD,N/A,CRITICAL,CRITICAL,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-02-11 07:35:35,New Service Installed,LocalSystem,Microsoft Defender Core Service,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
2026-02-11 07:35:35,New Service Installed,LocalSystem,Microsoft Defender Core Service,N/A,HIGH,HIGH,7045,system,N/A,N/A,N/A,1.0,NO ACTION REQUIRED,VIEWER,0,0
